blind_id,file,caption,score_1to5,halluc_y_n
0,P001ICE0002938.ARW,"A cascading waterfall, surrounded by rocky cliffs, creates a breathtaking natural scene. The water cascades down the side of the cliff, forming a white mist that adds to the dramatic effect. The cliffs",5,n
1,P001ICE0006070.ARW,A dark grey sky with a single bird flying in the upper left corner.,2,y
2,P001ICE0000147.ARW,"In this outdoor photograph, a black and white dog is lying on a gray concrete sidewalk, seemingly asleep. The dog's head is turned to the left, and its body is oriented towards the right.",2,n
3,P001ICE0001394.ARW,A grey and white seagull flying over rough ocean waves.,4,n
4,P001ICE0006679.ARW,"The image depicts a close-up view of a rectangular white surface, likely a table or a countertop. The surface is smooth and clean, with a uniform color and no visible imperfections. The edges",5,n
5,P001ICE0000159.ARW,"The image depicts a serene, small town street scene on a clear, sunny day. The sky is a vibrant blue, adorned with a few wispy white clouds. The street is flank",5,n
6,P001ICE0000096.ARW,"A white, short sleeve, half-sleeve t-shirt displays an image of a catzilla logo over a cityscape, featuring a black cat on a crescent moon, all in red",5,n
7,P001ICE0001394.ARW,"A seagull soars effortlessly over choppy waters, its wings outstretched as it glides through the dark, turbulent surface.",5,n
8,P001MIS0000230.ARW,In Honor of all who served.,3,n
9,P001MIS0000230.ARW,"A somber monument stands solemnly by the water's edge, its dark silhouette contrasting against the moody sky.",5,n
10,P001ICE0000283.ARW,"A serene seascape unfolds before us, with the vast expanse of water stretching out to meet the horizon. The sky above is a canvas of soft blues, punctuated by wisps",5,n
11,P001ICE0006070.ARW,"Dark, cloudy sky.",2,n
12,P001ICE0006679.ARW,A white rectangular board sits on a dark surface.,2,n
13,P001ICE0000096.ARW,"The image depicts a store window display featuring two white t-shirts hanging on wooden hangers. The t-shirt on the left is labeled ""Cat Zilla"" and showcases a black cat with a",4,n
14,P001MIS0000230.ARW,"The image depicts a prominent and striking sculpture situated on a paved plaza or walkway. The sculpture is a large, detailed depiction of a bald eagle, perched atop a pedestal. The eagle is",5,n
15,P001ICE0000283.ARW,"A serene coastal landscape unfolds before us, with the calm waters stretching out to meet the horizon. The sky is a clear blue, dotted with a few wispy clouds, creating a peaceful",3,n
16,P001MIS0000230.ARW,Two eagle statues on a memorial in honor of all service men and women.,4,n
17,P001ICE0002938.ARW,"A majestic waterfall cascades down a rocky cliff, creating a misty spray that fills the air. The scene is framed by rugged cliffs and a turbulent river below, with a dark, mood",5,n
18,P001ICE0000096.ARW,Two Catzilla t-shirts hanging on a rack.,3,n
19,P001ICE0000001.ARW,An aerial view of a desert landscape seen from an airplane wing.,4,n
20,P001ICE0006070.ARW,"A solitary plane soars through a brooding sky, its silhouette stark against the dark expanse.",5,n
21,P001ICE0000147.ARW,"A contented cat lies on the cool concrete, basking in the warm sunlight, while a person in a cozy sweater and boots stands nearby, their arm extended to gently pet the feline.",5,n
22,DSC03141.ARW,"A large, dark-tiled building stands along a harbor, its windows reflecting the sky and the boats docked below.",5,n
23,P001ICE0000001.ARW,Aerial view from an airplane wing showing farmland below.,4,n
24,P001ICE0000116.ARW,"A building with a sign that says ""OODIN'S RAVEN WORKSHOP"" in a fancy font.",4,n
25,P001ICE0000001.ARW,"The image depicts a view from an airplane, specifically from the wing of the aircraft. The airplane is positioned in a manner that suggests it is flying at a high altitude, as indicated by the vast,",5,n
26,P001ICE0000283.ARW,"This photograph, taken from the interior of a car, captures a serene coastal scene. The bottom portion of the image features a gray dashboard, with a small, indistinct white object visible in",3,y
27,P001ICE0000116.ARW,"The image depicts the front of a small, two-story building with a distinctive yellowish-orange hue. The building features a mix of architectural elements, including a staircase leading up to the entrance and",4,n
28,P001ICE0000116.ARW,A coffee shop called Ood's Raked Workshop has a sign on the door.,3,n
29,P001ICE0000001.ARW,"As I gaze through the airplane window, I'm struck by the stark contrast between the man-made structure and the vast, barren landscape below. The aircraft's wing and engine blades create a sharp sil",3,n
30,P001ICE0000147.ARW,A man pets a black and white dog on the sidewalk.,3,n
